word,colour,congruent,correctAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,WelcomeText.started,WelcomeText.stopped,target.started,target.stopped,response.keys,response.corr,response.rt,response.started,response.stopped,text.started,text.stopped,endResponse.keys,endResponse.rt,endResponse.started,endResponse.stopped,participant,session,date,expName,psychopyVersion,frameRate,
red,green,0.0,right,0,0,0,9,11.316993834014283,None,60.45905853700242,None,right,0,0.8313862760260236,60.45905853700242,None,,,,,,,1,001,2021_Aug_11_2034,arl-stroop,2021.2.1,62.481040524868106,
red,blue,0.0,up,0,1,1,13,,,61.808316570008174,None,up,0,0.7079678809968755,61.808316570008174,None,,,,,,,1,001,2021_Aug_11_2034,arl-stroop,2021.2.1,62.481040524868106,
yellow,blue,0.0,up,0,2,2,14,,,63.04316997501883,None,up,0,0.5682462870026939,63.04316997501883,None,,,,,,,1,001,2021_Aug_11_2034,arl-stroop,2021.2.1,62.481040524868106,
green,green,1.0,right,0,3,3,21,,,64.12593561402173,None,right,0,0.5752328110102098,64.12593561402173,None,,,,,,,1,001,2021_Aug_11_2034,arl-stroop,2021.2.1,62.481040524868106,
green,red,0.0,left,0,4,4,11,,,65.21351190301357,None,left,0,0.7364932269847486,65.21351190301357,None,,,,,,,1,001,2021_Aug_11_2034,arl-stroop,2021.2.1,62.481040524868106,
red,red,1.0,left,0,5,5,6,,,66.4774422160117,None,left,0,0.9327193229983095,66.4774422160117,None,,,,,,,1,001,2021_Aug_11_2034,arl-stroop,2021.2.1,62.481040524868106,
blue,red,0.0,left,0,6,6,5,,,67.91252459899988,None,left,0,0.9174967840081081,67.91252459899988,None,,,,,,,1,001,2021_Aug_11_2034,arl-stroop,2021.2.1,62.481040524868106,
green,blue,0.0,up,0,7,7,2,,,69.34740436600987,None,up,0,0.5196125880174804,69.34740436600987,None,,,,,,,1,001,2021_Aug_11_2034,arl-stroop,2021.2.1,62.481040524868106,
yellow,yellow,1.0,down,0,8,8,3,,,70.3779121490079,None,down,0,1.1348788689938374,70.3779121490079,None,,,,,,,1,001,2021_Aug_11_2034,arl-stroop,2021.2.1,62.481040524868106,
blue,green,0.0,right,0,9,9,7,,,72.01358250601334,None,right,0,0.8372184619947802,72.01358250601334,None,,,,,,,1,001,2021_Aug_11_2034,arl-stroop,2021.2.1,62.481040524868106,
blue,blue,1.0,up,0,10,10,16,,,73.36431062102201,None,up,0,1.033464645006461,73.36431062102201,None,,,,,,,1,001,2021_Aug_11_2034,arl-stroop,2021.2.1,62.481040524868106,
blue,yellow,0.0,down,0,11,11,8,,,74.91445979502168,None,down,0,1.2338844230107497,74.91445979502168,None,,,,,,,1,001,2021_Aug_11_2034,arl-stroop,2021.2.1,62.481040524868106,
yellow,green,0.0,right,0,12,12,15,,,76.66500872100005,None,right,0,0.8943220679939259,76.66500872100005,None,,,,,,,1,001,2021_Aug_11_2034,arl-stroop,2021.2.1,62.481040524868106,
yellow,yellow,1.0,down,0,13,13,18,,,78.06604539000546,None,down,0,1.0514709450071678,78.06604539000546,None,,,,,,,1,001,2021_Aug_11_2034,arl-stroop,2021.2.1,62.481040524868106,
blue,blue,1.0,up,0,14,14,17,,,79.63355785101885,None,up,0,0.6098421829810832,79.63355785101885,None,,,,,,,1,001,2021_Aug_11_2034,arl-stroop,2021.2.1,62.481040524868106,
yellow,red,0.0,left,0,15,15,10,,,80.76669586502248,None,left,0,1.4765649090113584,80.76669586502248,None,,,,,,,1,001,2021_Aug_11_2034,arl-stroop,2021.2.1,62.481040524868106,
green,green,1.0,right,0,16,16,20,,,82.76901387202088,None,right,0,0.8710333909839392,82.76901387202088,None,,,,,,,1,001,2021_Aug_11_2034,arl-stroop,2021.2.1,62.481040524868106,
red,yellow,0.0,down,0,17,17,1,,,84.15272183102206,None,down,0,0.9105175970180426,84.15272183102206,None,,,,,,,1,001,2021_Aug_11_2034,arl-stroop,2021.2.1,62.481040524868106,
green,green,1.0,right,0,18,18,4,,,85.57562290702481,None,right,0,0.6755385970172938,85.57562290702481,None,,,,,,,1,001,2021_Aug_11_2034,arl-stroop,2021.2.1,62.481040524868106,
red,red,1.0,left,0,19,19,22,,,86.75442838101299,None,left,0,0.8615679499926046,86.75442838101299,None,,,,,,,1,001,2021_Aug_11_2034,arl-stroop,2021.2.1,62.481040524868106,
yellow,yellow,1.0,down,0,20,20,19,,,88.13728662801441,None,down,0,1.1324311329808552,88.13728662801441,None,,,,,,,1,001,2021_Aug_11_2034,arl-stroop,2021.2.1,62.481040524868106,
red,red,1.0,left,0,21,21,23,,,89.78879142302321,None,left,0,0.7069707680202555,89.78879142302321,None,,,,,,,1,001,2021_Aug_11_2034,arl-stroop,2021.2.1,62.481040524868106,
blue,blue,1.0,up,0,22,22,0,,,91.0226873170177,None,up,0,0.6621648969885428,91.0226873170177,None,,,,,,,1,001,2021_Aug_11_2034,arl-stroop,2021.2.1,62.481040524868106,
green,yellow,0.0,down,0,23,23,12,,,92.20617204901646,None,down,0,1.0296695920114871,92.20617204901646,None,,,,,,,1,001,2021_Aug_11_2034,arl-stroop,2021.2.1,62.481040524868106,
,,,,,,,,,,,,,,,,,93.38694167902577,None,space,1.2587923810060602,93.38694167902577,None,1,001,2021_Aug_11_2034,arl-stroop,2021.2.1,62.481040524868106,
