word,colour,congruent,correctAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,WelcomeText.started,WelcomeText.stopped,target.started,target.stopped,response.keys,response.corr,response.rt,response.started,response.stopped,text.started,text.stopped,endResponse.keys,endResponse.rt,endResponse.started,endResponse.stopped,participant,session,date,expName,psychopyVersion,frameRate,
green,green,1.0,right,0,0,0,4,8.655078678013524,None,9.79933141701622,None,right,0,1.2131834820029326,9.79933141701622,None,,,,,,,1,001,2021_Aug_11_0651,arl-stroop,2021.2.1,60.03840151800377,
yellow,yellow,1.0,down,0,1,1,3,,,11.548760720004793,None,down,0,0.8898829410027247,11.548760720004793,None,,,,,,,1,001,2021_Aug_11_0651,arl-stroop,2021.2.1,60.03840151800377,
yellow,blue,0.0,up,0,2,2,14,,,12.932726245024242,None,up,0,0.9598158770240843,12.932726245024242,None,,,,,,,1,001,2021_Aug_11_0651,arl-stroop,2021.2.1,60.03840151800377,
red,red,1.0,left,0,3,3,22,,,14.419972636009334,None,left,0,0.5208425270102452,14.419972636009334,None,,,,,,,1,001,2021_Aug_11_0651,arl-stroop,2021.2.1,60.03840151800377,
red,red,1.0,left,0,4,4,6,,,15.452659616013989,None,left,0,0.4380167609779164,15.452659616013989,None,,,,,,,1,001,2021_Aug_11_0651,arl-stroop,2021.2.1,60.03840151800377,
red,red,1.0,left,0,5,5,23,,,16.3847297700122,None,left,0,0.7407591109804343,16.3847297700122,None,,,,,,,1,001,2021_Aug_11_0651,arl-stroop,2021.2.1,60.03840151800377,
blue,blue,1.0,up,0,6,6,16,,,17.652143185026944,None,up,0,0.9386964459845331,17.652143185026944,None,,,,,,,1,001,2021_Aug_11_0651,arl-stroop,2021.2.1,60.03840151800377,
yellow,green,0.0,right,0,7,7,15,,,19.102993183012586,None,right,0,0.9152987729758024,19.102993183012586,None,,,,,,,1,001,2021_Aug_11_0651,arl-stroop,2021.2.1,60.03840151800377,
blue,green,0.0,right,0,8,8,7,,,20.538122615020256,None,right,0,0.6310918930103071,20.538122615020256,None,,,,,,,1,001,2021_Aug_11_0651,arl-stroop,2021.2.1,60.03840151800377,
green,green,1.0,right,0,9,9,21,,,21.688303414004622,None,right,0,0.3885469000088051,21.688303414004622,None,,,,,,,1,001,2021_Aug_11_0651,arl-stroop,2021.2.1,60.03840151800377,
green,green,1.0,right,0,10,10,20,,,22.58766127101262,None,right,0,0.46034095401410013,22.58766127101262,None,,,,,,,1,001,2021_Aug_11_0651,arl-stroop,2021.2.1,60.03840151800377,
blue,blue,1.0,up,0,11,11,0,,,23.555015164020006,None,up,0,0.5809491600084584,23.555015164020006,None,,,,,,,1,001,2021_Aug_11_0651,arl-stroop,2021.2.1,60.03840151800377,
yellow,yellow,1.0,down,0,12,12,19,,,24.655938633019105,None,right,0,0.4099062620080076,24.655938633019105,None,,,,,,,1,001,2021_Aug_11_0651,arl-stroop,2021.2.1,60.03840151800377,
red,blue,0.0,up,0,13,13,13,,,25.589373404014623,None,up,0,1.0206025850202423,25.589373404014623,None,,,,,,,1,001,2021_Aug_11_0651,arl-stroop,2021.2.1,60.03840151800377,
blue,yellow,0.0,down,0,14,14,8,,,27.12394259602297,None,down,0,1.0935733410005923,27.12394259602297,None,,,,,,,1,001,2021_Aug_11_0651,arl-stroop,2021.2.1,60.03840151800377,
red,yellow,0.0,down,0,15,15,1,,,28.741492858011043,None,down,0,0.5342833549948409,28.741492858011043,None,,,,,,,1,001,2021_Aug_11_0651,arl-stroop,2021.2.1,60.03840151800377,
green,blue,0.0,up,0,16,16,2,,,29.77400162399863,None,up,0,1.0646594160061795,29.77400162399863,None,,,,,,,1,001,2021_Aug_11_0651,arl-stroop,2021.2.1,60.03840151800377,
red,green,0.0,right,0,17,17,9,,,31.341959084005794,None,right,0,1.8135276680113748,31.341959084005794,None,,,,,,,1,001,2021_Aug_11_0651,arl-stroop,2021.2.1,60.03840151800377,
green,yellow,0.0,down,0,18,18,12,,,33.67539493800723,None,down,0,1.7109188199974597,33.67539493800723,None,,,,,,,1,001,2021_Aug_11_0651,arl-stroop,2021.2.1,60.03840151800377,
blue,blue,1.0,up,0,19,19,17,,,35.91127325600246,None,up,0,0.5330480189877562,35.91127325600246,None,,,,,,,1,001,2021_Aug_11_0651,arl-stroop,2021.2.1,60.03840151800377,
blue,red,0.0,left,0,20,20,5,,,36.94435087402235,None,left,0,1.0308617910195608,36.94435087402235,None,,,,,,,1,001,2021_Aug_11_0651,arl-stroop,2021.2.1,60.03840151800377,
yellow,yellow,1.0,down,0,21,21,18,,,38.49515284100198,None,down,0,0.6959433470037766,38.49515284100198,None,,,,,,,1,001,2021_Aug_11_0651,arl-stroop,2021.2.1,60.03840151800377,
green,red,0.0,left,0,22,22,11,,,39.71352563099936,None,left,0,0.7376661339949351,39.71352563099936,None,,,,,,,1,001,2021_Aug_11_0651,arl-stroop,2021.2.1,60.03840151800377,
yellow,red,0.0,left,0,23,23,10,,,40.96237660301267,None,left,0,0.4878380360023584,40.96237660301267,None,,,,,,,1,001,2021_Aug_11_0651,arl-stroop,2021.2.1,60.03840151800377,
,,,,,,,,,,,,,,,,,41.521954674011795,None,space,1.1720405890082475,41.521954674011795,None,1,001,2021_Aug_11_0651,arl-stroop,2021.2.1,60.03840151800377,
